Sample_ID,Buffer_Zone(m),Soil_pH,Bulk_Density_g_mL,Porosity_pct,Total_Organic_Matter_pct,Total_Organic_Carbon_pct,Nitrogen_pct,Phosphorus_mg_kg,Sulphur_pct,Magnesium_ppm,Potassium_ppm,Calcium_ppm,Molybdenum_ppm
GULLY-S001,Brink (0m),5.32,1.54,42.2,1.67,0.98,0.106,9.9,0.018,68.1,44.4,358.1,0.16
GULLY-S002,Brink (0m),4.72,1.46,44.6,0.63,0.35,0.019,11.7,0.006,61,32.9,351,0.154
GULLY-S003,Brink (0m),4.91,1.57,40.5,0.85,0.53,0.044,5.4,0.013,41.7,52.5,223.6,0.097
GULLY-S004,Brink (0m),5.25,1.59,40.1,0.95,0.57,0.048,6.8,0.015,65.2,28.8,429.2,0.135
GULLY-S005,Brink (0m),5.03,1.58,40.9,1.35,0.83,0.08,10.4,0.015,57.2,36.7,292.3,0.183
GULLY-S006,Brink (0m),5.54,1.55,42,1.13,0.69,0.077,7.9,0.018,20.7,59.9,407.8,0.138
GULLY-S007,Brink (0m),5.22,1.45,45.2,1.34,0.69,0.056,6.7,0.017,64.9,43.6,446.2,0.154
GULLY-S008,Brink (0m),5.44,1.51,42.9,0.72,0.5,0.047,8,0.009,38.8,45,369.2,0.118
GULLY-S009,Brink (0m),5.16,1.57,41.7,1.13,0.64,0.039,7.9,0.013,96.9,47.7,427.1,0.149
GULLY-S010,Brink (0m),4.91,1.61,39.6,1.29,0.8,0.054,9.5,0.023,45.1,43.2,409,0.13
GULLY-S011,Brink (0m),4.81,1.55,41,1.15,0.72,0.053,7.2,0.017,41.5,52.7,517.6,0.086
GULLY-S012,Brink (0m),5.25,1.56,41.5,0.37,0.29,0.029,8.6,0.007,49.8,52.8,426.4,0.121
GULLY-S013,Brink (0m),5.67,1.57,40.2,1.21,0.76,0.078,5.9,0.018,66.2,59.9,570.7,0.14
GULLY-S014,Brink (0m),5.01,1.51,42.6,1.03,0.58,0.06,8,0.016,56,82.6,456.3,0.116
GULLY-S015,Brink (0m),4.93,1.57,40.6,1.39,0.78,0.063,4.2,0.014,72.8,52.6,287.9,0.157
GULLY-S016,Brink (0m),5.3,1.51,43.1,0.94,0.61,0.06,10.7,0.015,39.3,38.7,446.4,0.171
GULLY-S017,Brink (0m),5.33,1.74,34.6,1.61,0.88,0.075,9.9,0.015,56.4,44.2,407.4,0.243
GULLY-S018,Brink (0m),4.73,1.58,39.6,0.94,0.48,0.033,6.2,0.012,49,52.6,404.1,0.124
GULLY-S019,Brink (0m),5.74,1.58,39.4,1.05,0.65,0.049,7.7,0.015,73,35.6,369.9,0.131
